metabolite_id	metabolite_name	metabolite_formula
m_000_00001c	(-)-trans-carveol	C10H16O
m_000_00001s	(-)-trans-carveol	C10H16O
m_000_00002c	(+)-alpha-pinene	C10H16
m_000_00002s	(+)-alpha-pinene	C10H16
m_000_00003c	(10Z)-heptadecenoic acid	C17H32O2
m_000_00003l	(10Z)-heptadecenoic acid	C17H32O2
m_000_00003r	(10Z)-heptadecenoic acid	C17H32O2
m_000_00003s	(10Z)-heptadecenoic acid	C17H32O2
m_000_00004c	(10Z)-heptadecenoyl-CoA	C38H66N7O17P3S
m_000_00004m	(10Z)-heptadecenoyl-CoA	C38H66N7O17P3S
m_000_00004r	(10Z)-heptadecenoyl-CoA	C38H66N7O17P3S
m_000_00005c	(11R)-HPETE	C20H32O4
m_000_00006c	(11Z)-docosenoyl-CoA	C43H76N7O17P3S
m_000_00006m	(11Z)-docosenoyl-CoA	C43H76N7O17P3S
m_000_00006r	(11Z)-docosenoyl-CoA	C43H76N7O17P3S
m_000_00007c	(11Z)-eicosenoyl-CoA	C41H72N7O17P3S
m_000_00007m	(11Z)-eicosenoyl-CoA	C41H72N7O17P3S
m_000_00007p	(11Z)-eicosenoyl-CoA	C41H72N7O17P3S
m_000_00007r	(11Z)-eicosenoyl-CoA	C41H72N7O17P3S
m_000_00008c	(11Z,14Z)-eicosadienoic acid	C20H36O2
m_000_00008l	(11Z,14Z)-eicosadienoic acid	C20H36O2
m_000_00008r	(11Z,14Z)-eicosadienoic acid	C20H36O2
m_000_00008s	(11Z,14Z)-eicosadienoic acid	C20H36O2
m_000_00009c	(11Z,14Z)-eicosadienoyl-CoA	C41H70N7O17P3S
m_000_00009m	(11Z,14Z)-eicosadienoyl-CoA	C41H70N7O17P3S
m_000_00009r	(11Z,14Z)-eicosadienoyl-CoA	C41H70N7O17P3S
m_000_00010c	(11Z,14Z,17Z)-eicosatrienoic acid	C20H34O2
m_000_00010l	(11Z,14Z,17Z)-eicosatrienoic acid	C20H34O2
m_000_00010r	(11Z,14Z,17Z)-eicosatrienoic acid	C20H34O2
m_000_00010s	(11Z,14Z,17Z)-eicosatrienoic acid	C20H34O2
m_000_00011c	(11Z,14Z,17Z)-eicosatrienoylcarnitine	C27H47NO4
m_000_00011m	(11Z,14Z,17Z)-eicosatrienoylcarnitine	C27H47NO4
m_000_00011r	(11Z,14Z,17Z)-eicosatrienoylcarnitine	C27H47NO4
m_000_00012c	(11Z,14Z,17Z)-eicosatrienoyl-CoA	C41H68N7O17P3S
m_000_00012m	(11Z,14Z,17Z)-eicosatrienoyl-CoA	C41H68N7O17P3S
m_000_00012r	(11Z,14Z,17Z)-eicosatrienoyl-CoA	C41H68N7O17P3S
m_000_00013c	(13E)-11alpha-hydroxy-9,15-dioxoprost-13-enoate	C20H32O5
m_000_00014p	(13E)-tetranor-16-carboxy-LTE4	C19H27NO7S
m_000_00015p	(13E)-tetranor-16-oxo-16-CoA-LTE4	C40H61N8O22P3S2
m_000_00016c	(13Z)-docosenoyl-CoA	C43H76N7O17P3S
m_000_00016m	(13Z)-docosenoyl-CoA	C43H76N7O17P3S
m_000_00016p	(13Z)-docosenoyl-CoA	C43H76N7O17P3S
m_000_00016r	(13Z)-docosenoyl-CoA	C43H76N7O17P3S
m_000_00017c	(13Z)-eicosenoic acid	C20H38O2
m_000_00017l	(13Z)-eicosenoic acid	C20H38O2
m_000_00017r	(13Z)-eicosenoic acid	C20H38O2
m_000_00017s	(13Z)-eicosenoic acid	C20H38O2
m_000_00018c	(13Z)-eicosenoyl-CoA	C41H72N7O17P3S
m_000_00018m	(13Z)-eicosenoyl-CoA	C41H72N7O17P3S
m_000_00018p	(13Z)-eicosenoyl-CoA	C41H72N7O17P3S
m_000_00018r	(13Z)-eicosenoyl-CoA	C41H72N7O17P3S
m_000_00019c	(13Z)-octadecenoic acid	C18H34O2
m_000_00019l	(13Z)-octadecenoic acid	C18H34O2
m_000_00019r	(13Z)-octadecenoic acid	C18H34O2
m_000_00019s	(13Z)-octadecenoic acid	C18H34O2
m_000_00020c	(13Z)-octadecenoyl-CoA	C39H68N7O17P3S
m_000_00020m	(13Z)-octadecenoyl-CoA	C39H68N7O17P3S
m_000_00020r	(13Z)-octadecenoyl-CoA	C39H68N7O17P3S
m_000_00021c	(13Z,16Z)-docosadienoic acid	C22H40O2
