id	name
CPD-7088	leucodelphinidin
CPD-17465	(9<i>Z</i>,12<i>E</i>)-tetradeca-9,12-dienoyl-CoA
CPD0-1592	barium chloride
CPD-13164	"GDP-2,4-diacetamido-2,4,6-trideoxy-&alpha;-D-glucopyranose"
DTDP-L-DIHYDROSTREPTOSE	dTDP-L-dihydrostreptose
CPD-13243	geranyl monophosphate
CPD-8958	deoxypodophyllotoxin
CPD-12651	phthalate 4,5-<i>cis</i>-dihydrodiol
2-THIOURIDINE	2-thiouridine
CPD-14054	L-<i>threo</i>-5,6,7,8-tetrahydrobiopterin
CPDQT-32	2-(4'-methylthio)butylmalate
CPD-12085	cysteine-adenylate
CPD-344	dTDP-L-pneumose
CPD-10575	4-methylsalicylate
CPD-16955	"[1-(2-amino-7-methyl-4-oxo-7,8-dihydro-3H-pteridin-6-yl)]ethyl-4-(&beta;-D-ribofuranosyl)aminobenzene 5'-phosphate"
CPD-7032	3-methylbutanol
CPD-17423	2-hydroxyethiin
CPD0-1376	dicyclohexylamine
CPD-11268	<i>N</i><sup>1</sup>,<i>N</i><sup>12</sup>-diacetylspermine
CPD-12739	(3<i>S</i>)-3-hydroxy-D-aspartate
CPD-12592	N-acetyl-farnesylcysteine
N-FORMIMINO-L-GLUTAMATE	<i>N</i>-formimino-L-glutamate
2-METHOXYETHANOL	2-methoxyethanol
CPD-635	3,4-dihydroxyphthalate
CPD-8098	<i>cis</i>-caffeate
CPD-12136	2-amino-4-[3-(2-amino-2-carboxylatoethyl)-6-oxocyclohexa-1,4-dien-1-yl]pentanedioate
CPD-12995	tetrahydropteroyl tetra-L-glutamate
CPD0-2245	a peptidoglycan dimer with pentapeptide and tetrapeptide stems (<I>meso</i>-diaminopimelate containing)
CARBON-DIOXIDE	CO<SUB>2</SUB>
CPD-18289	4-hydroxy-3-methylbenzyl alcohol
CPD-9092	bacteriochlorophyll <i>c</i>
CPD-9249	ginsenoside Rd
CPD-17528	acarbose
CPD-11647	thermospermine
CPD-15154	cysteinyldopa
CPD0-2023	"&gamma;-thiomethyl glutamate"
AICAR	5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide
2-HYDROXYDAIDZEIN	2'-hydroxydaidzein
CPD-14836	"curcumin 4'-<i>O</i>-&beta;-<i>D</i>-gentiotetraside"
CPD-8953	"2-<i>O</i>-digalloyl-1,3,4,6-tetra-<i>O</i>-&beta;-<i>D</i>-galloylglucose"
CPD-8087	"1-&alpha;-linolenoyl-2-palmitoyl-phosphatidylglycerol"
TARTRATE	L-tartrate
CPD0-2060	2,6-diaminopurine
CPD-11715	phenylacetylglycine
CPD-17863	"GDP-2-acetamido-2-deoxy-&beta;-mannuronate"
O-DGAL-HEX-0:0_1:ALDI	o-dgal-HEX-0:0|1:aldi
CPD-9529	hemigossypol-6-methyl ether
DIMP	dIMP
CPD-17069	pre-heme <i>d</i><sub>1</sub>
CPD-16877	glutaramate
CPD-15001	cyanidin-3-<i>O</i>-rutinoside
CPD-18341	olivoretin B
CPD-5601	<i>N</i>-monomethylethanolamine
CPD0-2556	Sulindac
MALTOHEXAOSE	maltohexaose
CPD0-1502	3-chlorodiaminopimelate
CPD-8120	"di-homo-&gamma;-linolenate"
CPD-14416	cyanophycin primer
PANTETHEINE-P	4'-phosphopantetheine
CPD-16516	3-methoxy-5-methyl-1-naphthoate
ISOMETHYLEUGENOL	isomethyleugenol
CPD0-2301	iodonium diphenyl chloride
CPD0-1141	3,3-dimethyl-2-oxobutyric acid 5-(6-aminopurin-9-yl)-3,4-dihydroxytetrahydrofuran-2-ylmethyl ester
CPD-7733	aurachin C
4-OXOPROLINE	4-oxoproline
CPD-8066	ajugose
H2SO3	sulfurous acid
ALPHA-RIBAZOLE	"&alpha;-ribazole"
CPD-7496	prolycopene
CPD-13113	(3-phenoxyphenyl)methanol
2-OXINDOLE-3-ACETIC-ACID	2-oxo-indole-3-acetate
CPD-11653	"7-O-[2-aminoethoxy(hydroxy)phosphoryl]-&alpha;-D-Kdo-(2&rarr;4)-&alpha;-D-Kdo-(2&rarr;6)-lipid A"
CPD-11742	phosphinomethylmalate
CPD-9742	heliocide H2
CPD-9762	neral
CPD-8237	isobazzanene
CPD0-1508	5-iodo-2'-dUMP
CPD0-1475	2-chloro-L-alanine
CPD-1162	arbutin-6-phosphate
