name	synonyms
leucodelphinidin	"leucoefdin; leucodelfinidin; "
(9<i>Z</i>,12<i>E</i>)-tetradeca-9,12-dienoyl-CoA	
barium chloride	"BaCl2; "
"GDP-2,4-diacetamido-2,4,6-trideoxy-&alpha;-D-glucopyranose"	"GDP-N,N'-diacetylbacillosamine; "
dTDP-L-dihydrostreptose	"1-[2-[[[[3,4-dihydroxy-3-(hydroxymethyl)-2-methyl- tetrahydrofuran-5-yl]oxy-hydroxy-phosphinoyl]oxy-hydroxy- phosphinoyl]oxymethyl]-3-hydroxy-tetrahydrofuran-5-yl]-5-methyl- 1H-pyrimidine-2,4-dione; "
geranyl monophosphate	"2,6-octadien-1-ol, 3,7-dimethyl-, 1-(dihydrogen phosphate), (<i>2E</i>)-; <i>trans</i>-geranyl phosphate; (<i>E</i>)-geranyl phosphate; geranyl-PP; geranyl-phosphate; geranyl-monophosphate; "
deoxypodophyllotoxin	
phthalate 4,5-<i>cis</i>-dihydrodiol	"phthalate-4,5-<i>cis</i>-dihydrodiol; cis-4,5-dihydroxycyclohexa-1(6),2-diene-1,2-dicarboxylate; "
2-thiouridine	"s<sup>2</sup>U; "
L-<i>threo</i>-5,6,7,8-tetrahydrobiopterin	"(6<i>S</i>)-5,6,7,8-tetrahydrobiopterin; "
2-(4'-methylthio)butylmalate	"2-(4'-methylthio)butylmalic acid; "
cysteine-adenylate	"cysteine-AMP; "
dTDP-L-pneumose	"dTDP-6-deoxy-&beta;-L-talose; "
4-methylsalicylate	
"[1-(2-amino-7-methyl-4-oxo-7,8-dihydro-3H-pteridin-6-yl)]ethyl-4-(&beta;-D-ribofuranosyl)aminobenzene 5'-phosphate"	
3-methylbutanol	"isopentanol; isoamyl alcohol; "
2-hydroxyethiin	
dicyclohexylamine	
<i>N</i><sup>1</sup>,<i>N</i><sup>12</sup>-diacetylspermine	
(3<i>S</i>)-3-hydroxy-D-aspartate	"D-<i>erythro</i>-&beta;-hydroxyaspartate; <i>erythro</i>-3-hydroxy-D-aspartate; D-<i>erythro</i>-3-hydroxyaspartate; <i>erythro</i>-&beta;-hydroxy-D-aspartate; D-<i>erythro</i>-3-hydroxy-aspartic acid; "
N-acetyl-farnesylcysteine	"L-cysteine, N-acetyl-S-[(<i>2E,6E</i>)-3,7,11-trimethyl-2,6,10-dodecatrien-1-yl]-; N-acetyl-L-farnesylcysteine; N-acetyl-S-farnesyl-L-cysteine; AFC; N-acetyl-S-all-<i>trans</i>-farnesyl-L-cysteine; N-Acetyl-S-<i>trans,trans</i>-farnesyl-L-cysteine; "
<i>N</i>-formimino-L-glutamate	"<i>N</i>-formimidoyl-L-glutamate; formimino-glu; formiminoglutamate; <i>N</i>-formimino-glutamate; &alpha;-formamidinoglutarate; "
2-methoxyethanol	"ethanol, 2-methoxy-; methyl cellosolve; ethylene glycol monomethyl ether; "
3,4-dihydroxyphthalate	
